beginning_est_in_datetime,mw,PRCP,TMIN,TMAX,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,dow_1,dow_2,dow_3,dow_4,dow_5,dow_6,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,lag_1,lag_2,lag_24,lag_48,lag_168
2024-01-10 00:00:00-05:00,11516.688,1.8500000000000003,33.666666666666664,48.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11804.61,12315.285,14365.752,13422.199,15247.075
2024-01-10 01:00:00-05:00,11366.432,1.8500000000000003,33.666666666666664,48.333333333333336,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11516.688,11804.61,14137.42,13386.288,15241.258
2024-01-10 02:00:00-05:00,11306.416,1.8500000000000003,33.666666666666664,48.333333333333336,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11366.432,11516.688,14000.221,13402.781,15378.109
2024-01-10 03:00:00-05:00,11482.889,1.8500000000000003,33.666666666666664,48.333333333333336,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11306.416,11366.432,13939.459,13702.942,15613.178
2024-01-10 04:00:00-05:00,11892.248,1.8500000000000003,33.666666666666664,48.333333333333336,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11482.889,11306.416,13978.929,14239.843,16042.112
2024-01-10 05:00:00-05:00,12709.022,1.8500000000000003,33.666666666666664,48.333333333333336,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11892.248,11482.889,14626.795,15218.345,16857.96
2024-01-10 06:00:00-05:00,13795.698,1.8500000000000003,33.666666666666664,48.333333333333336,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12709.022,11892.248,15489.77,16494.162,17925.07
2024-01-10 07:00:00-05:00,14671.818,1.8500000000000003,33.666666666666664,48.333333333333336,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13795.698,12709.022,16048.083,17221.449,18383.378
2024-01-10 08:00:00-05:00,14654.88,1.8500000000000003,33.666666666666664,48.333333333333336,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14671.818,13795.698,16086.368,16831.886,17886.923
2024-01-10 09:00:00-05:00,14144.087,1.8500000000000003,33.666666666666664,48.333333333333336,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14654.88,14671.818,16050.883,15711.554,16441.937
2024-01-10 10:00:00-05:00,13836.261,1.8500000000000003,33.666666666666664,48.333333333333336,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14144.087,14654.88,15971.064,14814.552,15226.164
2024-01-10 11:00:00-05:00,13766.344,1.8500000000000003,33.666666666666664,48.333333333333336,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13836.261,14144.087,15759.831,14258.291,14499.994
2024-01-10 12:00:00-05:00,13756.998,1.8500000000000003,33.666666666666664,48.333333333333336,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13766.344,13836.261,15566.805,13834.152,14020.935
2024-01-10 13:00:00-05:00,13590.651,1.8500000000000003,33.666666666666664,48.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13756.998,13766.344,15313.283,13442.167,13674.119
2024-01-10 14:00:00-05:00,13441.55,1.8500000000000003,33.666666666666664,48.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13590.651,13756.998,15041.318,13239.349,13625.513
2024-01-10 15:00:00-05:00,13579.768,1.8500000000000003,33.666666666666664,48.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13441.55,13590.651,14865.901,13496.687,13984.762
2024-01-10 16:00:00-05:00,14363.083,1.8500000000000003,33.666666666666664,48.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13579.768,13441.55,14883.213,14263.848,14703.753
